Power;Temp
165,1;10,6
151,6;10,6
146,9;10,6
153,7;10,6
153,8;10,6
159,0;10,6
157,7;10,6
163,2;10,6
151,7;10,0
148,7;10,0
155,1;10,0
161,5;10,0
161,5;10,0
162,0;10,0
166,0;10,0
159,0;10,0
158,6;10,0
152,1;10,0
162,0;10,0
164,4;10,0
163,6;9,4
168,8;9,4
163,7;9,4
156,2;9,4
168,4;10,0
165,1;10,0
172,5;10,0
177,3;10,0
266,2;10,0
255,6;10,0
257,3;10,0
255,0;10,0
267,3;10,6
260,8;10,6
260,4;10,6
258,2;10,6
258,4;11,7
259,4;11,7
261,9;11,7
264,1;11,7
274,2;13,3
267,1;13,3
271,1;13,3
275,7;13,3
268,4;13,9
272,3;13,9
269,2;13,9
274,1;13,9
279,2;13,3
276,1;13,3
275,5;13,3
277,9;13,3
277,1;15,0
282,1;15,0
277,4;15,0
275,6;15,0
275,8;16,7
278,4;16,7
278,8;16,7
274,2;16,7
281,4;16,1
281,8;16,1
277,4;16,1
297,6;16,1
324,1;15,6
316,5;15,6
317,4;15,6
318,3;15,6
313,0;14,4
333,4;14,4
348,3;14,4
311,2;14,4
343,5;14,4
349,6;14,4
311,6;14,4
329,3;14,4
347,1;13,3
310,0;13,3
331,6;13,3
313,7;13,3
288,9;13,3
327,4;13,3
299,1;13,3
288,0;13,3
314,1;12,8
308,8;12,8
286,8;12,8
288,2;12,8
199,1;13,3
197,0;13,3
165,2;13,3
163,1;13,3
154,4;10,6
152,2;10,6
158,7;10,6
163,8;10,6
158,7;10,0
152,3;10,0
155,2;10,0
155,9;10,0
152,1;10,0
154,1;10,0
155,9;10,0
156,8;10,0
153,9;9,4
152,2;9,4
165,6;9,4
168,8;9,4
160,5;8,9
160,6;8,9
161,1;8,9
160,7;8,9
157,0;10,0
161,7;10,0
158,4;10,0
165,8;10,0
166,4;10,6
168,0;10,6
159,5;10,6
164,2;10,6
170,3;10,0
178,8;10,0
181,5;10,0
182,4;10,0
270,9;11,1
269,4;11,1
273,1;11,1
268,3;11,1
277,7;11,7
269,8;11,7
268,0;11,7
258,3;11,7
260,7;12,2
257,2;12,2
256,3;12,2
255,0;12,2
270,9;13,3
269,6;13,3
307,6;13,3
283,5;13,3
266,1;13,9
295,9;13,9
278,5;13,9
269,5;13,9
297,5;13,3
294,4;13,3
300,7;13,3
287,5;13,3
288,4;13,3
288,4;13,3
283,9;13,3
310,4;13,3
285,3;13,3
288,9;13,3
277,1;13,3
280,3;13,3
271,8;13,3
301,8;13,3
282,2;13,3
285,0;13,3
326,2;12,2
311,7;12,2
313,4;12,2
305,0;12,2
300,7;12,8
303,2;12,8
299,8;12,8
307,7;12,8
315,8;12,2
304,1;12,2
305,6;12,2
290,9;12,2
289,4;11,7
285,2;11,7
276,6;11,7
282,0;11,7
291,6;9,4
286,9;9,4
290,1;9,4
285,1;9,4
285,7;8,9
286,6;8,9
281,9;8,9
281,3;8,9
190,3;8,9
194,8;8,9
163,7;8,9
159,3;8,9
158,4;7,8
152,9;7,8
159,6;7,8
161,6;7,8
159,9;7,2
149,8;7,2
148,7;7,2
153,2;7,2
150,6;6,7
151,6;6,7
160,6;6,7
165,7;6,7
154,9;6,1
149,0;6,1
163,5;6,1
161,2;6,1
158,6;5,6
154,9;5,6
162,0;5,6
162,7;5,6
160,3;5,0
162,3;5,0
168,3;5,0
165,3;5,0
166,8;5,0
166,7;5,0
172,6;5,0
171,1;5,0
175,5;3,9
185,4;3,9
188,8;3,9
186,6;3,9
267,0;3,9
267,3;3,9
262,6;3,9
258,2;3,9
262,0;6,1
259,4;6,1
256,6;6,1
258,2;6,1
262,8;7,8
264,7;7,8
262,9;7,8
263,8;7,8
270,7;11,7
264,2;11,7
269,3;11,7
265,9;11,7
265,7;11,7
261,7;11,7
270,9;11,7
280,0;11,7
281,0;13,3
278,9;13,3
276,5;13,3
276,0;13,3
273,1;13,9
270,2;13,9
276,3;13,9
265,0;13,9
266,2;14,4
267,3;14,4
275,4;14,4
273,0;14,4
273,0;13,9
272,5;13,9
266,3;13,9
284,0;13,9
315,0;11,7
313,9;11,7
314,4;11,7
312,9;11,7
310,0;10,6
310,1;10,6
310,1;10,6
317,6;10,6
312,9;10,6
308,0;10,6
306,9;10,6
305,5;10,6
297,2;9,4
293,6;9,4
300,0;9,4
292,8;9,4
288,1;8,9
285,8;8,9
286,9;8,9
283,8;8,9
193,6;8,9
191,7;8,9
158,9;8,9
169,1;8,9
161,4;8,9
166,9;8,9
165,0;8,9
164,1;8,9
168,5;8,3
155,4;8,3
166,7;8,3
161,3;8,3
163,1;8,3
152,5;8,3
147,0;8,3
154,6;8,3
161,0;7,8
158,9;7,8
159,3;7,8
165,4;7,8
160,9;6,7
151,5;6,7
157,2;6,7
166,1;6,7
161,9;6,7
161,4;6,7
167,9;6,7
162,2;6,7
166,7;6,7
163,5;6,7
164,0;6,7
170,2;6,7
166,3;7,2
177,2;7,2
174,5;7,2
168,1;7,2
189,4;7,2
188,9;7,2
176,8;7,2
181,7;7,2
268,0;6,7
261,1;6,7
258,5;6,7
261,7;6,7
264,2;7,8
258,3;7,8
266,4;7,8
267,4;7,8
265,7;8,3
265,2;8,3
264,2;8,3
266,3;8,3
262,8;8,3
262,4;8,3
265,5;8,3
270,7;8,3
261,6;10,0
272,9;10,0
275,8;10,0
271,0;10,0
276,3;11,1
274,0;11,1
276,1;11,1
278,1;11,1
274,5;12,2
276,6;12,2
271,6;12,2
271,9;12,2
272,8;13,3
271,0;13,3
271,9;13,3
277,7;13,3
267,8;13,9
266,1;13,9
269,5;13,9
279,1;13,9
312,1;12,2
314,1;12,2
309,7;12,2
310,2;12,2
302,1;10,6
301,4;10,6
304,5;10,6
305,6;10,6
312,9;9,4
306,0;9,4
308,3;9,4
305,1;9,4
296,7;9,4
299,9;9,4
298,2;9,4
300,2;9,4
300,4;8,9
283,8;8,9
277,6;8,9
286,2;8,9
288,7;8,3
293,2;8,3
288,2;8,3
286,5;8,3
191,9;6,7
198,2;6,7
170,3;6,7
162,5;6,7
160,2;6,7
146,1;6,7
159,8;6,7
165,4;6,7
154,7;6,1
156,3;6,1
154,1;6,1
160,8;6,1
157,0;5,6
155,9;5,6
161,3;5,6
161,0;5,6
153,8;5,6
143,3;5,6
154,8;5,6
163,6;5,6
161,8;5,0
160,7;5,0
160,6;5,0
157,2;5,0
154,1;4,4
162,3;4,4
161,4;4,4
156,6;4,4
161,7;5,0
164,4;5,0
178,8;5,0
184,2;5,0
178,9;5,6
184,6;5,6
174,9;5,6
180,3;5,6
272,6;6,7
263,5;6,7
257,3;6,7
262,8;6,7
269,4;8,9
266,7;8,9
262,9;8,9
265,7;8,9
263,7;10,0
269,7;10,0
265,9;10,0
274,2;10,0
273,6;10,6
268,6;10,6
268,4;10,6
265,5;10,6
269,2;11,7
271,1;11,7
273,5;11,7
277,8;11,7
270,9;13,9
273,0;13,9
269,8;13,9
274,5;13,9
267,4;14,4
273,3;14,4
264,5;14,4
265,5;14,4
267,1;13,3
272,7;13,3
268,4;13,3
271,0;13,3
268,6;14,4
266,1;14,4
270,9;14,4
279,3;14,4
312,1;11,1
308,1;11,1
305,1;11,1
302,3;11,1
305,0;10,6
305,9;10,6
298,4;10,6
304,0;10,6
309,3;10,6
302,2;10,6
302,2;10,6
311,6;10,6
308,7;10,6
305,6;10,6
303,5;10,6
303,0;10,6
300,4;10,0
299,3;10,0
299,8;10,0
287,9;10,0
288,7;9,4
291,7;9,4
290,3;9,4
288,6;9,4
193,7;8,3
198,5;8,3
167,3;8,3
162,3;8,3
160,2;8,3
148,8;8,3
154,0;8,3
164,0;8,3
168,6;7,2
153,6;7,2
148,7;7,2
159,4;7,2
151,4;7,2
155,0;7,2
154,7;7,2
158,6;7,2
156,2;6,7
149,8;6,7
155,3;6,7
159,4;6,7
160,1;5,6
155,2;5,6
161,5;5,6
159,8;5,6
157,4;6,1
161,1;6,1
162,0;6,1
160,0;6,1
163,4;6,1
166,2;6,1
170,5;6,1
175,0;6,1
184,7;6,7
198,3;6,7
181,2;6,7
192,8;6,7
274,0;6,7
269,9;6,7
258,8;6,7
261,8;6,7
268,8;8,3
264,5;8,3
268,5;8,3
266,6;8,3
261,6;10,0
269,2;10,0
256,9;10,0
260,2;10,0
269,4;11,1
269,5;11,1
267,9;11,1
266,6;11,1
272,3;11,7
271,9;11,7
265,1;11,7
257,4;11,7
260,7;13,3
261,0;13,3
265,4;13,3
274,3;13,3
273,9;15,6
265,8;15,6
269,7;15,6
264,4;15,6
271,3;13,3
267,3;13,3
258,4;13,3
265,7;13,3
272,1;12,2
268,7;12,2
266,7;12,2
272,3;12,2
308,3;11,7
310,2;11,7
308,3;11,7
310,1;11,7
309,3;11,7
303,7;11,7
303,0;11,7
304,4;11,7
313,9;10,0
307,8;10,0
310,6;10,0
301,8;10,0
308,0;10,0
304,7;10,0
305,8;10,0
309,5;10,0
305,5;10,0
303,7;10,0
302,5;10,0
293,2;10,0
284,6;9,4
286,5;9,4
283,0;9,4
283,2;9,4
187,2;8,9
194,6;8,9
156,2;8,9
161,1;8,9
155,5;7,8
155,0;7,8
153,2;7,8
159,6;7,8
164,4;7,8
151,6;7,8
143,0;7,8
147,9;7,8
155,2;6,7
157,7;6,7
152,9;6,7
158,5;6,7
146,4;6,7
145,2;6,7
156,3;6,7
154,7;6,7
159,3;6,7
159,2;6,7
160,4;6,7
157,6;6,7
153,8;6,1
152,7;6,1
158,6;6,1
155,5;6,1
153,8;6,1
163,4;6,1
168,4;6,1
168,0;6,1
184,1;6,1
193,5;6,1
172,9;6,1
182,9;6,1
275,5;6,7
265,7;6,7
259,1;6,7
262,5;6,7
265,5;8,3
258,0;8,3
261,1;8,3
268,9;8,3
259,0;9,4
256,4;9,4
264,4;9,4
268,2;9,4
275,9;11,1
270,9;11,1
268,6;11,1
264,5;11,1
263,5;12,2
270,2;12,2
269,6;12,2
274,1;12,2
274,3;12,2
270,8;12,2
274,5;12,2
274,9;12,2
273,7;13,3
276,2;13,3
266,0;13,3
270,8;13,3
270,8;12,2
265,7;12,2
270,9;12,2
266,7;12,2
271,3;11,1
268,3;11,1
267,3;11,1
276,5;11,1
311,1;11,7
310,5;11,7
313,6;11,7
308,9;11,7
308,5;10,6
308,1;10,6
304,5;10,6
302,4;10,6
309,7;10,0
306,4;10,0
303,1;10,0
301,2;10,0
305,8;10,0
300,5;10,0
298,1;10,0
304,0;10,0
302,7;10,0
299,0;10,0
301,2;10,0
302,5;10,0
287,9;9,4
286,4;9,4
284,6;9,4
287,1;9,4
194,4;8,3
202,0;8,3
167,0;8,3
164,6;8,3
161,4;7,8
156,2;7,8
162,8;7,8
161,8;7,8
166,0;8,9
153,5;8,9
157,0;8,9
162,6;8,9
159,1;7,2
167,3;7,2
161,6;7,2
162,3;7,2
155,0;8,3
152,0;8,3
161,7;8,3
160,3;8,3
155,9;7,8
160,3;7,8
161,3;7,8
159,1;7,8
164,8;8,3
167,0;8,3
170,9;8,3
170,4;8,3
173,8;8,9
178,8;8,9
172,0;8,9
168,1;8,9
177,1;8,3
180,6;8,3
185,5;8,3
172,6;8,3
258,1;8,3
267,0;8,3
265,9;8,3
262,4;8,3
269,3;10,0
264,2;10,0
263,1;10,0
265,0;10,0
259,6;10,0
262,9;10,0
270,5;10,0
267,2;10,0
268,9;10,6
266,7;10,6
268,5;10,6
271,7;10,6
271,5;11,1
274,8;11,1
272,3;11,1
269,7;11,1
271,3;11,1
270,6;11,1
274,4;11,1
275,5;11,1
269,6;14,4
266,4;14,4
264,2;14,4
266,6;14,4
270,1;12,8
270,1;12,8
274,5;12,8
275,4;12,8
271,3;12,8
271,8;12,8
271,1;12,8
280,2;12,8
319,5;10,6
317,1;10,6
317,7;10,6
311,3;10,6
306,1;9,4
307,3;9,4
308,4;9,4
308,9;9,4
313,0;9,4
307,2;9,4
305,2;9,4
304,9;9,4
306,3;9,4
301,1;9,4
298,9;9,4
299,9;9,4
296,6;8,9
295,4;8,9
303,8;8,9
299,3;8,9
282,4;7,8
283,3;7,8
279,9;7,8
285,1;7,8
191,7;7,8
190,5;7,8
157,8;7,8
157,6;7,8
159,3;7,8
144,0;7,8
157,1;7,8
157,5;7,8
162,7;7,2
149,7;7,2
146,9;7,2
160,3;7,2
153,2;7,2
156,7;7,2
154,7;7,2
154,7;7,2
151,9;7,2
144,3;7,2
151,7;7,2
